seed,window,links,v_labels,alive_tracked,mean_social,mean_stability,mean_spread,mean_familiarity,count_social,count_isolated,count_deeply_connected,reciprocal_pairs,asymmetric_pairs,fam_symmetry_mean,fam_symmetry_std,att_overlap_mean,att_overlap_pairs
25,20,2973,27,27,0.3855,0.6642,0.851,13.7972,10,12,20,73,80,0.9322,0.1595,25.2,306
25,21,2994,30,30,0.3856,0.6705,0.8225,19.7398,11,14,27,106,101,0.8853,0.2137,41.9,386
25,22,2838,51,51,0.2963,0.6663,0.8241,17.1103,13,28,44,190,217,0.8449,0.2531,21.7,1034
25,23,2911,48,48,0.3716,0.6746,0.8137,11.9878,16,17,34,261,268,0.8516,0.239,32.2,1017
25,24,2819,42,42,0.4333,0.6705,0.8091,12.2651,16,9,23,275,192,0.8582,0.2358,42.9,794
25,25,2856,46,46,0.3935,0.6773,0.8209,11.7896,16,15,28,301,223,0.8125,0.2653,38.5,912
25,26,2826,39,39,0.4637,0.6698,0.8127,9.6825,16,9,18,275,185,0.8039,0.2568,45.4,685
25,27,2832,34,34,0.529,0.6643,0.812,8.5966,18,5,5,234,127,0.8107,0.2484,54.8,516
25,28,2863,35,35,0.5218,0.6619,0.8192,9.3311,18,7,9,241,120,0.8011,0.2781,52.5,559
25,29,2881,34,34,0.5307,0.6774,0.8303,10.8776,18,8,13,246,126,0.8169,0.266,64.6,534
