seed,window,links,v_labels,alive_tracked,mean_social,mean_stability,mean_spread,mean_familiarity,count_social,count_isolated,count_deeply_connected,reciprocal_pairs,asymmetric_pairs,fam_symmetry_mean,fam_symmetry_std,att_overlap_mean,att_overlap_pairs
4,20,2912,26,26,0.4264,0.6601,0.8582,16.3507,12,9,22,88,69,0.9179,0.1648,39.7,291
4,21,2969,24,24,0.4928,0.6839,0.8329,15.0317,12,6,21,109,55,0.8706,0.2143,63.6,263
4,22,2918,29,29,0.4222,0.6579,0.8239,15.4582,12,10,20,133,82,0.8684,0.2209,44.0,372
4,23,2953,26,26,0.5,0.6685,0.8232,12.2748,13,6,16,150,72,0.8226,0.2697,54.1,314
4,24,2888,30,30,0.4797,0.6644,0.827,12.3368,14,10,19,161,87,0.7976,0.276,47.4,401
4,25,2903,27,27,0.5332,0.6576,0.8252,10.6247,15,6,14,150,76,0.8032,0.26,53.1,334
4,26,2896,31,31,0.5244,0.6618,0.825,10.8268,16,8,15,183,81,0.8103,0.2666,43.0,435
4,27,2879,37,37,0.4335,0.673,0.8272,14.0289,16,11,23,219,117,0.8106,0.2708,36.6,617
4,28,2840,34,34,0.5023,0.6675,0.8242,12.3312,18,7,20,223,131,0.8079,0.2667,46.6,522
4,29,2853,36,36,0.4806,0.6648,0.826,12.1243,18,11,18,214,129,0.815,0.2644,41.3,572
