window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini
1,5000,6198,22,5,0,1.999,0,20.2,0,0,6.65,1.0,6198.0,658,1.0,406,610,204,2240,0.000899,0.0095,404.3077,0,0.0,0.0066,0.0012,6,0,0,0,0.036614,0.015625,64,0.5733,0.0366,0.2667
2,5000,3868,1,5,0,1.9991,0,23.1,461,3383,5.38,0.8359,4666.7,485,1.0,383,8,31,2260,0.001034,0.0091,358.9933,1,1.0,0.0068,0.0012,1,0,0,0,0.04041,0.015625,64,0.6133,0.0742,0.2581
3,5000,3359,4,5,0,1.999,0,24.6,254,3117,4.81,0.8413,4027.3,242,1.0,311,5,77,2246,0.000982,0.0105,245.6853,2,2.0,0.0061,0.0014,2,0,0,0,0.041096,0.015625,64,0.6198,0.1124,0.2577
4,5000,3224,1,3,0,1.9991,0,28.1,70,3178,4.68,0.875,3717.6,46,1.0,218,8,101,1999,0.001183,0.0119,63.3609,3,2.9,0.0088,0.0021,0,0,0,0,0.046318,0.015625,64,0.6627,0.1587,0.2653
5,5000,3156,1,3,1,1.9991,0,30.5,0,3156,4.51,0.8939,3530.4,0,1.0,196,1,23,1648,0.001487,0.0173,0.0,4,3.9,0.0102,0.003,0,1,0,0,0.039792,0.015625,62,0.6073,0.1933,0.2694
6,5000,3069,2,5,0,1.999,2,34.7,6,3053,4.46,0.903,3398.6,16,1.0,175,8,29,1601,0.00157,0.021,30.3644,5,4.7,0.0136,0.0037,2,0,0,0,0.055449,0.015625,61,0.7182,0.2488,0.2767
7,5000,3117,2,5,0,1.9959,2,44.0,0,3105,4.53,0.9365,3328.2,12,1.0,160,4,19,1541,0.001557,0.0239,21.6535,6,5.6,0.0149,0.0039,1,0,0,0,0.0625,0.015625,61,0.75,0.3113,0.285
8,5000,3008,1,5,0,1.9994,2,58.7,0,2998,4.35,0.9235,3257.0,10,1.0,144,1,17,1430,0.001657,0.0264,22.8833,7,6.5,0.0162,0.0049,1,0,0,0,0.059471,0.015625,59,0.7373,0.3708,0.2936
9,5000,3054,0,0,1,1.9998,2,55.4,1,3048,4.46,0.9495,3216.4,6,1.0,132,1,13,1351,0.001699,0.0301,13.089,8,7.5,0.0161,0.0049,0,0,0,0,0.050125,0.015625,55,0.6883,0.4209,0.3058
10,5000,3126,2,5,1,1.9812,1,56.6,5,3116,4.53,0.9769,3200.0,10,1.0,124,2,10,1321,0.001724,0.0264,25.0627,9,8.5,0.0176,0.0053,1,1,0,0,0.052885,0.015625,55,0.7045,0.4738,0.314
