window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini,lw_n_oasis,lw_n_penalty,lw_n_neutral,lw_edge_oo,lw_edge_op,lw_edge_pp,thaw_mean_jaccard,thaw_mean_pressure,thaw_mean_add,thaw_mean_drop,thaw_mean_range,fb_died_share,fb_ema,fb_ratio,fb_multiplier,fb_warmup
1,5000,6056,18,5,0,1.9984,0,17.2,0,0,6.57,1.0,6056.0,637,1.0,394,600,206,2169,0.000887,0.0071,419.3548,0,0.0,0.0066,0.0011,1,0,0,0,0.041456,0.015625,64,0.6231,0.0415,0.2803,86,209,99,2066,1344,1482,1.0,0.0,0,0,0,0.000506,0.000506,1.0,1.0,1
2,5000,4169,4,4,0,1.9985,0,16.4,482,3668,5.56,0.8703,4808.7,501,1.0,377,19,36,2225,0.001033,0.0082,379.6507,1,1.0,0.0058,0.0012,0,0,0,0,0.052417,0.015625,64,0.7019,0.0913,0.2701,89,189,99,1366,1283,785,1.0,0.0,0,0,0,0.008154,0.005604,1.4549,1.0,1
3,5000,3535,0,0,3,1.9985,0,16.3,315,3234,5.03,0.8524,4190.3,301,1.0,311,2,68,2137,0.001056,0.0084,288.4615,2,2.0,0.0023,0.0014,0,0,0,0,0.040427,0.015625,64,0.6135,0.1318,0.2695,85,139,87,966,1237,638,1.0,0.0,0,0,0,0.029748,0.017676,1.6829,1.0,1
4,5000,3256,2,5,0,1.9985,0,16.0,118,3166,4.74,0.8603,3833.4,90,1.0,271,3,43,1882,0.001221,0.0135,124.4813,3,2.9,0.0104,0.0023,1,0,0,0,0.044118,0.015625,64,0.6458,0.1551,0.2745,81,111,79,879,1257,511,1.0,0.0,0,0,0,0.001225,0.011096,0.1104,1.0,1
5,5000,3241,0,0,3,1.9986,0,15.8,9,3233,4.68,0.8916,3636.3,8,1.0,222,0,49,1697,0.001379,0.0269,14.0105,4,3.9,0.0126,0.0031,0,0,0,0,0.047138,0.015625,63,0.6685,0.1998,0.2895,68,94,60,883,1248,551,1.0,0.0,0,0,0,0.0,0.007397,0.0,1.0,1
6,5000,3271,1,5,0,1.9989,1,15.8,0,3266,4.61,0.9261,3531.9,5,1.0,193,1,30,1553,0.001434,0.0185,9.7087,5,4.9,0.016,0.0032,1,0,0,0,0.040741,0.015625,62,0.6165,0.2349,0.2949,59,79,55,847,1320,511,1.0,0.0,0,0,0,0.0,0.005284,0.0,1.0,1
7,5000,3092,0,0,1,1.9981,1,15.9,3,3079,4.58,0.9036,3421.9,13,1.0,172,8,29,1445,0.001489,0.0245,27.897,6,5.7,0.0177,0.0038,0,0,0,0,0.04898,0.015625,61,0.681,0.2819,0.2973,53,68,51,790,1232,486,1.0,0.0,0,0,0,0.0,0.003963,0.0,1.0,1
8,5000,3198,5,5,0,1.9992,1,15.8,23,3155,4.62,0.9484,3372.2,43,1.0,173,15,14,1468,0.001541,0.0223,86.8687,7,6.2,0.0155,0.0037,3,0,0,0,0.055762,0.015625,61,0.7198,0.3116,0.2962,57,62,54,822,1261,495,1.0,0.0,0,0,0,0.0,0.003082,0.0,1.0,1
9,5000,3198,3,5,0,1.9989,1,15.8,17,3157,4.61,0.9583,3337.3,41,1.0,155,3,21,1413,0.001643,0.0257,85.4167,8,7.1,0.0169,0.0045,3,0,0,0,0.061265,0.015625,59,0.745,0.3571,0.3022,51,54,50,821,1288,519,1.0,0.0,0,0,0,0.0,0.002466,0.0,1.0,1
10,5000,3242,1,3,3,1.9937,2,16.0,17,3215,4.56,0.9765,3320.0,27,1.0,141,3,17,1353,0.001643,0.0271,59.4714,9,8.0,0.0176,0.0045,0,0,0,0,0.058455,0.015625,57,0.7327,0.3988,0.3078,49,49,43,782,1299,519,1.0,0.0,0,0,0,0.008351,0.003536,2.3618,1.0,1
