seed,cid,t,window,pulse_n,trigger,tags,d_social,delta_social,theta_social,R_social,d_stability,delta_stability,theta_stability,R_stability,d_spread,delta_spread,theta_spread,R_spread,d_familiarity,delta_familiarity,theta_familiarity,R_familiarity,v11_b_gen,v11_delta,v11_d_n,v11_d_s,v11_d_r,v11_d_phase,v11_p_capture,v11_captured,v11_n_local,v11_s_avg_local,v11_r_local,v11_theta_avg_local
21,0,0,20,1,unformed,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.676,0.401754,0.116279,0.24271,0.882182,0.365842,0.301273,cold_start,13,0.02803,0.104136,-0.257149
21,55,5,20,1,unformed,,0.5,0.0,0.0,0.0,0.814661,0.0,0.0,0.0,0.956845,0.0,0.0,0.0,3.988016,0.0,0.0,0.0,34.581941,0.3329,0.732558,0.257547,0.19902,0.142476,0.363426,cold_start,68,0.02981,0.227313,-2.976812
21,57,7,20,1,unformed,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.951868,0.107575,0.034884,0.031751,0.10224,0.261425,0.671397,cold_start,5,0.027819,0.897494,-1.496319
21,9,9,20,1,unformed,,0.5,0.0,0.0,0.0,0.898398,0.0,0.0,0.0,0.965773,0.0,0.0,0.0,9.910478,0.0,0.0,0.0,19.515039,0.201532,0.186047,0.260534,0.027194,0.332352,0.519789,cold_start,19,0.031735,0.32022,2.45636
21,71,21,20,1,unformed,,0.0,0.0,0.0,0.0,0.818626,0.0,0.0,0.0,0.956081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.769951,0.349784,0.174419,0.242625,0.549518,0.432573,0.34709,cold_start,18,0.029235,0.389898,2.768351
21,72,22,20,1,unformed,,0.0,0.0,0.0,0.0,0.827506,0.0,0.0,0.0,0.905283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.411011,0.339,0.127907,0.385612,0.591822,0.25066,0.357437,cold_start,14,0.027216,0.343378,-0.479012
21,24,24,20,1,unformed,,0.5,0.0,0.0,0.0,0.749649,0.0,0.0,0.0,0.939067,0.0,0.0,0.0,2.439105,0.0,0.0,0.0,33.290005,0.397015,0.139535,0.295223,0.198308,0.954995,0.305187,cold_start,17,0.026827,0.547243,1.362209
21,74,24,20,1,unformed,,0.0,0.0,0.0,0.0,0.747127,0.0,0.0,0.0,0.956166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.846453,0.365436,0.127907,0.367449,0.260919,0.70547,0.332602,cold_start,14,0.028226,0.330117,-0.88922
21,76,26,20,1,unformed,,0.0,0.0,0.0,0.0,0.868286,0.0,0.0,0.0,0.915964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.030516,0.389583,0.081395,0.00568,0.594283,0.876971,0.311429,cold_start,9,0.044356,0.405602,2.839042
21,27,27,20,1,unformed,,1.0,0.0,0.0,0.0,0.746483,0.0,0.0,0.0,0.934794,0.0,0.0,0.0,14.877743,0.0,0.0,0.0,32.850024,0.819718,1.313953,0.448898,0.623895,0.892126,0.096494,cold_start,118,0.028156,0.033049,0.089053
21,77,27,20,1,unformed,,0.5,0.0,0.0,0.0,0.873929,0.0,0.0,0.0,0.964522,0.0,0.0,0.0,10.623866,0.0,0.0,0.0,26.338735,0.291248,0.27907,0.439135,0.370888,0.075898,0.407091,cold_start,28,0.029015,0.069588,0.797245
21,28,28,20,1,unformed,,0.2,0.0,0.0,0.0,0.759678,0.0,0.0,0.0,0.958599,0.0,0.0,0.0,26.309561,0.0,0.0,0.0,32.926766,0.4826,0.77907,0.331207,0.66294,0.157184,0.241723,cold_start,72,0.023521,0.182366,1.193164
21,79,29,20,1,unformed,,0.2,0.0,0.0,0.0,0.818061,0.0,0.0,0.0,0.916718,0.0,0.0,0.0,11.448783,0.0,0.0,0.0,33.592103,0.479169,0.27907,0.210792,0.673738,0.753075,0.243993,cold_start,29,0.023154,0.243601,-0.762049
21,80,30,20,1,unformed,,0.0,0.0,0.0,0.0,0.778307,0.0,0.0,0.0,0.87855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.191806,0.354127,0.255814,0.466729,0.60466,0.089306,0.343007,cold_start,25,0.024595,0.36633,2.374566
21,83,33,20,1,unformed,,0.4,0.0,0.0,0.0,0.824551,0.0,0.0,0.0,0.947718,0.0,0.0,0.0,9.560009,0.0,0.0,0.0,33.316058,0.31341,0.302326,0.329198,0.515822,0.106294,0.383242,cold_start,31,0.026571,0.198052,1.382696
21,84,34,20,1,unformed,,0.2,0.0,0.0,0.0,0.901581,0.0,0.0,0.0,0.929484,0.0,0.0,0.0,5.644628,0.0,0.0,0.0,19.180211,0.373703,0.255814,0.444289,0.17414,0.620571,0.325196,cold_start,25,0.027374,0.161301,1.204403
21,36,36,20,1,unformed,,0.2,0.0,0.0,0.0,0.75053,0.0,0.0,0.0,0.956151,0.0,0.0,0.0,13.819448,0.0,0.0,0.0,25.65611,0.654489,0.418605,0.370902,0.82871,0.99974,0.151346,cold_start,40,0.027322,0.027346,2.28957
21,86,36,20,1,unformed,,0.0,0.0,0.0,0.0,0.861601,0.0,0.0,0.0,0.927434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.175672,0.239555,0.162791,0.025307,0.533494,0.236629,0.468646,cold_start,16,0.064556,0.377489,1.102587
21,87,37,20,1,unformed,,0.0,0.0,0.0,0.0,0.867076,0.0,0.0,0.0,0.92283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.83727,0.408907,0.081395,0.013231,0.753753,0.78725,0.295459,cold_start,9,0.021811,0.154678,-0.731173
21,88,38,20,1,unformed,,0.166667,0.0,0.0,0.0,0.741084,0.0,0.0,0.0,0.863996,0.0,0.0,0.0,19.624521,0.0,0.0,0.0,12.519017,0.291694,0.139535,0.012425,0.677921,0.336897,0.406596,cold_start,14,0.03,0.244837,-2.072987
21,44,44,20,1,unformed,,0.5,0.0,0.0,0.0,0.64088,0.0,0.0,0.0,0.959279,0.0,0.0,0.0,6.265765,0.0,0.0,0.0,33.126103,0.478393,0.72093,0.380762,0.547156,0.264722,0.244509,cold_start,67,0.02557,0.157809,1.774569
21,49,49,20,1,unformed,,0.0,0.0,0.0,0.0,0.715249,0.0,0.0,0.0,0.904262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.728084,0.357247,0.011628,0.082418,0.51266,0.822283,0.340105,cold_start,3,0.017524,0.48458,-1.87476
