window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed
1,5000,6081,12,7,0,1.9997,0,34.0,0,0,6.56,1.0,6081.0,504,1.0,310,475,165,1792,0.001152,0.0087,399.0499,0,0.0,0.0081,0.0013,1,0,0,0
2,5000,3642,5,5,0,1.9998,0,37.0,386,3266,5.15,0.8218,4483.0,376,1.0,300,31,41,1927,0.001341,0.0089,355.1136,1,0.9,0.0069,0.0014,2,0,0,0
3,5000,3375,1,5,0,1.9998,0,51.5,194,3181,4.85,0.8612,3936.5,194,1.0,243,1,58,1850,0.001535,0.0157,232.8932,2,1.9,0.01,0.002,1,0,0,0
4,5000,3187,2,4,0,1.9998,0,65.0,46,3149,4.62,0.8799,3644.7,38,1.0,163,3,83,1622,0.001952,0.0181,70.6107,3,2.9,0.0111,0.0026,0,0,0,0
5,5000,3103,2,5,0,1.9997,0,77.2,8,3090,4.42,0.8958,3464.1,13,1.0,121,2,44,1372,0.002557,0.029,32.2581,4,3.8,0.0153,0.0038,2,0,0,0
6,5000,3047,1,5,0,1.9997,2,94.8,5,3032,4.48,0.9109,3345.0,15,1.0,89,3,35,1125,0.003434,0.044,43.6137,5,4.7,0.0286,0.0069,1,0,0,0
7,5000,3100,1,5,1,1.9975,2,104.8,0,3085,4.46,0.9441,3283.7,15,1.0,62,1,28,896,0.004403,0.0423,64.3777,6,5.5,0.0274,0.0079,1,0,0,0
8,5000,2938,3,5,0,1.9956,2,120.0,8,2921,4.4,0.9162,3206.9,17,1.0,49,5,18,713,0.005982,0.0547,89.9471,7,5.9,0.0326,0.0116,1,0,0,0
9,5000,3085,3,5,0,1.9929,2,127.6,12,3068,4.43,0.9694,3182.5,17,1.0,38,6,17,697,0.006014,0.0645,90.3614,8,5.7,0.0318,0.011,2,0,0,0
10,5000,3185,0,0,1,1.9948,2,137.4,3175,0,4.55,1.0006,3183.0,10,1.0,27,2,13,544,0.009089,0.0634,69.7674,9,5.8,0.0415,0.0164,0,1,0,0
11,5000,2952,0,0,3,1.9812,1,148.2,4,2948,4.27,0.9388,3144.5,4,1.0,25,0,2,460,0.010449,0.0935,30.303,10,6.6,0.046,0.0182,0,0,0,0
