window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed
1,5000,6023,9,5,0,1.9994,0,33.9,0,0,6.52,1.0,6023.0,606,1.0,374,587,213,2048,0.000945,0.0089,410.0135,0,0.0,0.0061,0.0011,3,0,0,0
2,5000,3682,2,5,0,1.9994,0,38.9,503,3173,5.22,0.8291,4489.0,509,1.0,311,23,86,2117,0.001115,0.0074,148.5126,1,1.0,0.0059,0.001,1,0,0,0
3,5000,3460,1,3,0,1.9993,0,53.2,264,3199,4.87,0.8737,3985.5,261,1.0,272,9,48,1919,0.001399,0.0089,235.3391,2,1.9,0.006,0.0016,0,0,0,0
4,5000,3092,0,0,1,1.9993,0,66.4,62,3064,4.54,0.8591,3643.3,28,1.0,174,3,101,1665,0.001809,0.017,48.913,3,2.8,0.0097,0.0023,0,0,0,0
5,5000,3072,2,5,0,1.9993,0,77.1,9,3058,4.43,0.8897,3452.9,14,1.0,116,7,65,1282,0.002607,0.0236,35.5191,4,3.7,0.0146,0.0035,1,0,0,0
6,5000,3024,2,3,0,1.9991,0,87.3,11,3013,4.41,0.908,3330.3,11,1.0,91,6,31,995,0.003438,0.0393,36.5449,5,4.4,0.0205,0.0056,0,0,0,0
7,5000,3132,0,0,1,1.9937,2,97.9,13,3114,4.51,0.9547,3280.8,18,1.0,69,8,30,816,0.004303,0.0372,76.5957,6,4.9,0.0238,0.006,0,0,0,0
8,5000,3154,0,0,3,1.9925,1,110.0,8,3141,4.46,0.9697,3252.6,13,1.0,53,0,16,653,0.005372,0.037,68.4211,7,5.7,0.025,0.0076,0,0,0,0
9,5000,3167,2,5,0,1.9941,1,114.2,7,3155,4.56,0.9788,3235.5,12,1.0,46,2,9,575,0.00689,0.0918,65.2174,8,6.2,0.043,0.0137,2,0,0,0
10,5000,3102,2,5,0,1.9953,1,121.4,4,3088,4.56,0.966,3211.2,14,1.0,41,4,9,537,0.007509,0.0819,86.4198,9,6.6,0.0431,0.0143,1,0,0,0
11,5000,3130,2,3,0,1.9958,2,138.3,12,3118,4.53,0.9788,3197.7,12,1.0,37,5,9,498,0.008308,0.0848,77.4194,10,6.3,0.0409,0.0154,0,0,0,0
12,5000,3108,0,0,1,1.9874,2,150.7,12,3096,4.48,0.9762,3183.9,12,1.0,25,0,12,452,0.009059,0.0738,91.6031,11,6.6,0.0369,0.0146,0,0,0,0
13,5000,3063,2,5,3,1.9508,1,147.3,7,3051,4.46,0.9673,3166.6,12,1.0,20,2,7,404,0.011264,0.0938,105.2632,12,6.7,0.0547,0.0166,1,0,0,0
14,5000,3174,2,4,1,1.9508,1,154.7,3163,0,4.52,1.002,3167.6,11,1.0,20,4,4,386,0.011537,0.0796,103.7736,13,6.2,0.0521,0.0152,0,0,0,0
15,5000,3109,1,3,3,1.9476,2,158.0,11,3098,4.48,0.9838,3160.3,11,1.0,18,3,5,370,0.0124,0.1176,115.7895,14,6.3,0.0613,0.0217,0,1,0,0
16,5000,3128,1,5,3,1.9315,2,166.7,14,3109,4.51,0.991,3156.5,19,1.0,19,4,3,364,0.012923,0.0945,158.3333,15,6.2,0.0604,0.0198,1,0,0,0
17,5000,3089,0,0,3,1.8107,2,169.5,8,3081,4.48,0.981,3149.0,8,1.0,17,0,2,333,0.013963,0.0957,89.8876,16,6.6,0.0567,0.0239,0,0,0,0
18,5000,3006,0,0,3,1.9291,1,177.0,6,3000,4.4,0.9592,3133.9,6,1.0,16,2,3,335,0.014885,0.1011,48.1928,17,7.6,0.0646,0.0189,0,1,0,0
19,5000,3021,0,0,3,1.9785,1,172.2,1,3020,4.44,0.9675,3122.6,1,1.0,15,1,2,304,0.015785,0.0976,0.0,18,8.6,0.0747,0.0186,0,0,0,0
20,5000,3083,0,0,3,1.9337,1,192.6,4,3079,4.49,0.9885,3118.9,4,1.0,17,4,2,318,0.015662,0.1316,27.027,19,8.5,0.0822,0.0319,0,0,0,0
21,5000,3115,2,3,3,1.9553,1,187.0,5,3107,4.48,0.9989,3118.5,8,1.0,18,6,5,353,0.013355,0.0762,80.8081,20,8.2,0.0667,0.0196,0,0,0,0
