window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed
1,5000,6060,7,5,0,1.9994,0,33.8,0,0,6.63,1.0,6060.0,531,1.0,327,516,189,1855,0.00108,0.0065,404.4174,0,0.0,0.0053,0.0012,1,0,0,0
2,5000,3605,3,5,0,1.9994,0,38.8,411,3216,5.12,0.8202,4457.3,389,1.0,309,14,32,1908,0.001323,0.0081,372.2488,1,1.0,0.0055,0.0014,1,0,0,0
3,5000,3284,1,4,0,1.9994,0,52.2,195,3117,4.79,0.8526,3884.7,167,1.0,232,3,80,1797,0.001553,0.0151,211.1252,2,1.9,0.0121,0.0018,0,0,0,0
4,5000,3139,1,3,0,1.9994,0,68.4,24,3125,4.47,0.8771,3590.4,14,1.0,138,4,98,1526,0.00203,0.0174,27.7778,3,2.9,0.0107,0.0024,0,0,0,0
5,5000,3013,0,0,1,1.9994,0,83.3,0,3013,4.35,0.8867,3397.9,0,1.0,92,0,46,1094,0.00299,0.0181,0.0,4,3.8,0.0075,0.0034,0,0,0,0
6,5000,3035,1,3,0,1.9997,1,95.4,5,3030,4.47,0.9213,3294.2,5,1.0,63,4,33,793,0.004594,0.0369,23.0415,5,4.6,0.0205,0.0071,0,0,0,0
7,5000,3057,3,5,0,1.9993,1,105.7,10,3042,4.5,0.945,3234.9,15,1.0,52,8,19,656,0.005446,0.0433,80.6452,6,4.9,0.0321,0.0079,1,0,0,0
8,5000,3080,2,4,0,1.9977,2,119.7,6,3069,4.46,0.9623,3200.5,11,1.0,46,5,11,543,0.006652,0.0571,66.6667,7,5.3,0.0324,0.0114,0,0,0,0
9,5000,3150,2,5,0,1.9955,2,131.4,14,3126,4.55,0.9873,3190.4,24,1.0,47,12,11,572,0.006072,0.0419,116.7513,8,5.2,0.0291,0.0091,1,0,0,0
10,5000,3086,1,3,0,1.9888,2,133.4,6,3075,4.49,0.9731,3171.4,11,1.0,35,1,13,526,0.007436,0.0562,70.0637,9,5.5,0.0351,0.0117,0,0,0,0
