window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed
1,5000,6036,17,5,0,1.9993,0,34.3,0,0,6.57,1.0,6036.0,692,1.0,436,659,223,2263,0.00086,0.0059,410.6825,0,0.0,0.0045,0.001,1,0,0,0
2,5000,3822,2,4,0,1.9993,0,38.7,518,3274,5.26,0.841,4580.0,548,1.0,352,17,101,2317,0.001005,0.0081,322.2013,1,1.0,0.0081,0.001,0,0,0,0
3,5000,3400,1,3,0,1.9993,0,53.2,289,3132,4.92,0.8561,4004.0,268,1.0,292,7,67,2129,0.001308,0.008,264.5607,2,1.9,0.0048,0.0014,0,0,0,0
4,5000,3116,0,0,3,1.9993,0,66.9,64,3079,4.58,0.8597,3661.6,37,1.0,207,0,85,1844,0.001594,0.0141,59.1054,3,2.9,0.0085,0.0021,0,0,0,0
5,5000,3120,1,5,0,1.9993,0,75.8,0,3110,4.46,0.8963,3481.1,10,1.0,149,1,59,1538,0.002079,0.0245,20.1207,4,3.9,0.0192,0.003,1,0,0,0
6,5000,3146,0,0,1,1.9991,1,87.0,0,3146,4.51,0.9293,3385.3,0,1.0,116,0,33,1208,0.002857,0.0286,0.0,5,4.9,0.0239,0.0038,0,0,0,0
7,5000,3040,0,0,3,1.9989,1,99.1,0,3040,4.44,0.9215,3299.0,0,1.0,86,0,30,974,0.003516,0.0422,0.0,6,5.8,0.0211,0.0058,0,0,0,0
8,5000,3104,1,4,0,1.9988,1,110.4,3,3101,4.47,0.9534,3255.7,3,1.0,63,1,24,779,0.004729,0.0372,13.8889,7,6.7,0.0145,0.0069,0,0,0,0
9,5000,3114,0,0,1,1.9984,1,113.7,0,3114,4.52,0.9649,3227.3,0,1.0,46,0,17,588,0.006248,0.0473,0.0,8,7.7,0.0414,0.0096,0,0,0,0
10,5000,3055,1,3,0,1.989,1,122.0,4,3051,4.41,0.9559,3196.0,4,1.0,38,5,13,494,0.007974,0.0533,25.641,9,7.7,0.0503,0.0113,0,0,0,0
11,5000,3148,1,4,0,1.9946,1,135.1,8,3140,4.57,0.9875,3188.0,8,1.0,32,1,7,428,0.009558,0.0543,66.1157,10,8.1,0.031,0.0099,0,0,0,0
