window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini,lw_n_oasis,lw_n_penalty,lw_n_neutral,lw_edge_oo,lw_edge_op,lw_edge_pp,thaw_mean_jaccard,thaw_mean_pressure,thaw_mean_add,thaw_mean_drop,thaw_mean_range,fb_died_share,fb_ema,fb_ratio,fb_multiplier,fb_warmup
1,5000,5991,17,5,0,1.998,0,18.7,0,0,6.58,1.0,5991.0,615,1.0,376,584,208,2091,0.000959,0.0081,401.6982,0,0.0,0.0081,0.0011,1,0,0,0,0.034027,0.015625,64,0.5408,0.034,0.2362,104,174,98,2110,1379,1420,1.0,0.0,0,0,0,0.002031,0.002031,1.0,1.0,1
2,5000,4005,5,4,0,1.9982,0,17.2,456,3542,5.43,0.8608,4686.3,463,1.0,355,22,43,2166,0.001047,0.008,372.6758,1,1.0,0.0043,0.0013,0,0,0,0,0.032777,0.015625,64,0.5233,0.0607,0.2214,102,156,97,1303,1289,751,1.0,0.0,0,0,0,0.015461,0.010984,1.4075,1.0,1
3,5000,3518,1,5,0,1.9983,0,16.9,217,3311,5.0,0.8616,4116.7,207,1.0,282,2,75,2046,0.001173,0.0099,212.0902,2,2.0,0.0075,0.0017,1,0,0,0,0.037283,0.015625,64,0.5809,0.0888,0.2285,95,118,69,984,1298,599,1.0,0.0,0,0,0,0.033969,0.022476,1.5113,1.0,1
4,5000,3269,1,5,0,1.9982,0,16.8,60,3229,4.73,0.8688,3785.6,40,1.0,257,3,28,1796,0.001272,0.0176,59.4354,3,2.9,0.0059,0.0026,1,0,0,0,0.052703,0.015625,64,0.7035,0.1389,0.2512,88,104,65,880,1300,508,1.0,0.0,0,0,0,0.0,0.013486,0.0,1.0,1
5,5000,3227,2,5,0,1.9983,0,16.7,7,3217,4.62,0.8967,3599.7,10,1.0,222,4,39,1698,0.001379,0.0146,17.1233,4,3.9,0.0113,0.0027,1,0,0,0,0.040453,0.015625,64,0.6138,0.1745,0.254,79,87,56,823,1271,506,1.0,0.0,0,0,0,0.001618,0.00953,0.1698,1.0,1
6,5000,3332,2,5,0,1.9984,2,17.0,3,3324,4.7,0.9457,3523.2,8,1.0,206,3,19,1662,0.001369,0.0186,12.966,5,4.8,0.0118,0.003,1,0,0,0,0.043478,0.015625,64,0.6406,0.2179,0.255,75,78,53,848,1311,525,1.0,0.0,0,0,0,0.001553,0.007251,0.2142,1.0,1
7,5000,3222,4,5,0,1.9987,2,16.7,12,3200,4.68,0.9345,3447.9,22,1.0,194,9,21,1622,0.001424,0.0199,38.3944,6,5.5,0.014,0.0035,2,0,0,0,0.044702,0.015625,62,0.6505,0.2577,0.2538,73,69,52,820,1249,533,1.0,0.0,0,0,0,0.001656,0.005852,0.2829,1.0,1
8,5000,3184,1,4,0,1.9987,2,16.7,8,3171,4.52,0.9394,3389.3,13,1.0,174,1,21,1515,0.001538,0.022,25.3411,7,6.5,0.0152,0.0037,0,0,0,0,0.045872,0.015625,62,0.6594,0.2889,0.2572,71,59,44,812,1246,542,1.0,0.0,0,0,0,0.001835,0.004959,0.37,1.0,1
9,5000,3276,2,3,0,1.9916,2,16.7,10,3261,4.63,0.9731,3366.6,15,1.0,162,7,19,1477,0.001423,0.0243,25.4403,8,7.3,0.0171,0.0039,0,0,0,0,0.04486,0.015625,62,0.6517,0.3337,0.261,67,50,45,835,1294,511,1.0,0.0,0,0,0,0.005607,0.005089,1.1019,1.0,1
10,5000,3259,2,4,0,1.9916,2,16.6,3,3251,4.68,0.9737,3347.1,8,1.0,151,5,16,1395,0.001443,0.0257,16.632,9,8.0,0.0139,0.004,0,0,0,0,0.053465,0.015625,61,0.7078,0.3654,0.2594,60,49,42,851,1294,532,1.0,0.0,0,0,0,0.0,0.004164,0.0,1.0,1
11,5000,3256,2,8,0,1.9772,2,16.6,6,3238,4.65,0.9772,3331.9,18,1.0,138,2,15,1344,0.001621,0.0362,40.0891,10,8.9,0.0181,0.0054,1,0,0,0,0.049041,0.015625,59,0.6814,0.4144,0.2583,55,42,41,848,1263,495,1.0,0.0,0,0,0,0.0,0.00347,0.0,1.0,1
12,5000,3167,0,0,1,1.9858,2,16.7,0,3157,4.55,0.9578,3306.5,10,1.0,127,0,11,1283,0.001649,0.0429,23.8095,11,9.9,0.0158,0.0057,0,0,0,0,0.063205,0.015625,58,0.7528,0.4705,0.2605,51,40,36,769,1327,523,1.0,0.0,0,0,0,0.002257,0.003283,0.6875,1.0,1
