seed,window,A_islands,A_nodes_in_isl,A_c_nodes,B_islands,B_nodes_in_isl,B_c_nodes,boundary_links,boundary_weight,concept_entropy,r0_entropy,r1_entropy,r2_entropy,r3_entropy,total_c_nodes,r0_concept,r1_concept,r2_concept,r3_concept,global_k,div_flag,merge_count,split_count
42,1,0,0,884,0,0,870,686,18.6797,1.5849,0.9148,0.9157,0.9389,0.9069,2637,A,B,A,B,0,0,0,0
42,2,1,2,308,0,0,318,701,19.2517,1.5848,0.8848,0.9063,0.948,0.9335,941,A,B,A,B,0,0,0,0
42,3,0,0,63,0,0,68,704,20.4178,1.5588,0.7444,0.6647,0.896,0.9268,174,A,B,A,B,1,1,0,0
42,4,0,0,10,0,0,18,677,18.5586,1.4955,0.7642,0.7496,0.8113,0.7642,36,A,B,A,B,4,1,0,0
42,5,0,0,12,0,0,5,682,18.0529,1.474,0.5436,0.7219,0.65,0.0,23,A,neutral,A,B,4,1,0,0
42,6,0,0,8,0,0,7,722,20.1644,1.5751,0.7219,1.0,0.7219,0.0,21,A,B,A,B,4,0,0,0
42,7,0,0,9,0,0,8,652,17.7071,1.5722,0.994,0.7642,1.0,1.0,28,A,B,A,B,4,0,0,0
42,8,0,0,3,0,0,8,651,17.8917,1.4566,0.0,0.65,0.8113,0.0,15,neutral,B,A,B,4,0,0,0
42,9,0,0,5,0,0,7,693,18.9725,1.2957,0.0,0.65,0.0,0.0,13,A,B,A,B,4,0,0,0
42,10,0,0,9,0,0,7,639,17.7511,1.561,0.9183,0.9544,0.9457,0.971,27,A,B,A,B,4,0,0,0
42,11,0,0,13,0,0,9,707,20.5416,1.499,1.0,0.9544,0.9852,0.9852,43,A,B,A,B,4,0,0,0
42,12,0,0,9,0,0,6,663,17.9162,1.5653,0.9544,1.0,0.9183,0.7219,23,A,B,A,B,4,0,0,0
42,13,0,0,9,1,3,12,680,19.5505,1.5632,0.9799,0.9852,0.0,0.0,29,A,B,A,B,4,0,0,0
42,14,0,0,8,0,0,15,706,20.9525,1.5387,0.971,0.9183,0.9183,0.684,34,A,B,A,B,3,1,0,0
42,15,0,0,8,0,0,9,722,19.1651,1.579,0.9911,0.9183,0.9852,0.5436,27,A,B,A,B,4,0,0,0
42,16,0,0,10,0,0,9,668,18.9113,1.5245,1.0,0.994,0.9911,0.8113,36,A,B,A,B,4,0,0,0
42,17,0,0,12,0,0,9,633,18.6128,1.5546,0.9183,0.9911,0.971,1.0,36,A,B,A,B,4,0,0,0
42,18,0,0,11,0,0,13,661,18.3047,1.569,0.7219,0.5917,0.7642,0.9799,33,A,B,A,B,4,0,0,0
42,19,0,0,14,0,0,12,693,19.0843,1.4295,0.7219,0.5917,0.0,0.5917,30,A,B,A,B,4,0,0,0
42,20,1,1,16,0,0,15,623,17.4284,1.5797,0.7642,0.9957,0.684,0.8454,44,A,B,A,B,4,0,0,0
42,21,0,0,18,0,0,12,674,19.2415,1.5262,0.0,0.5917,0.65,0.9957,39,A,B,A,B,3,1,0,0
42,22,0,0,11,0,0,15,699,20.4978,1.5722,0.9183,0.9911,0.9544,0.65,38,A,B,A,B,4,0,0,0
42,23,0,0,7,0,0,18,639,18.2911,1.4902,0.8631,0.7642,0.9911,0.7496,39,neutral,B,A,B,4,0,0,0
42,24,0,0,6,0,0,9,647,18.3702,1.543,0.971,0.9183,0.9183,0.9911,26,A,B,A,B,3,1,0,0
42,25,0,0,6,0,0,4,659,17.3104,1.5305,0.8113,0.9852,0.65,0.0,18,neutral,B,A,B,4,0,0,0
