window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini,bg_prob_effective
1,5000,6188,14,5,0,1.9992,0,18.3,0,0,6.68,1.0,6188.0,721,1.0,453,694,241,2333,0.000809,0.0061,410.0228,0,0.0,0.0052,0.0009,2,0,0,0,0.03,0.015625,64,0.4792,0.03,0.2082,0.003
2,5000,3787,3,5,0,1.9992,0,16.8,532,3229,5.25,0.8287,4608.7,558,1.0,432,18,39,2383,0.000905,0.0069,391.3043,1,1.0,0.0058,0.001,1,0,0,0,0.03321,0.015625,64,0.5295,0.0602,0.2209,0.003
3,5000,3419,6,5,0,1.9991,0,16.6,291,3130,4.89,0.8559,4028.3,289,1.0,345,16,103,2381,0.000943,0.0093,262.0127,2,1.9,0.0067,0.0014,3,0,0,0,0.032857,0.015625,64,0.5245,0.0845,0.2198,0.003
4,5000,3178,1,5,0,1.9991,0,16.4,62,3134,4.6,0.8666,3699.4,44,1.0,302,1,44,2081,0.001122,0.0152,56.1224,3,2.9,0.0082,0.0021,1,0,0,0,0.037383,0.015625,64,0.582,0.1089,0.2243,0.003
5,5000,3122,1,4,0,1.9991,0,16.4,7,3105,4.48,0.8902,3506.9,17,1.0,265,1,38,1953,0.001169,0.0159,24.0793,4,3.9,0.0091,0.0023,0,0,0,0,0.037185,0.015625,64,0.5798,0.1461,0.226,0.003
6,5000,3111,0,0,3,1.999,2,16.4,3,3103,4.5,0.9167,3393.8,8,1.0,230,0,35,1815,0.001216,0.0207,13.3333,5,4.9,0.0114,0.0028,0,0,0,0,0.046105,0.015625,64,0.6611,0.1738,0.2264,0.003
7,5000,3113,2,5,0,1.9966,1,16.5,0,3103,4.53,0.9366,3323.6,10,1.0,210,5,25,1745,0.001268,0.0195,15.8983,6,5.7,0.0137,0.0032,1,0,0,0,0.052553,0.015625,62,0.7027,0.2026,0.238,0.003
8,5000,3065,1,4,0,1.9962,1,16.5,4,3051,4.41,0.9384,3266.1,14,1.0,195,2,17,1668,0.001214,0.0262,25.2708,7,6.6,0.0127,0.0031,0,0,0,0,0.061082,0.015625,62,0.7442,0.2637,0.2422,0.003
9,5000,3079,2,5,0,1.9913,2,16.5,7,3062,4.48,0.9536,3228.7,17,1.0,181,5,19,1606,0.001313,0.0201,30.7692,8,7.5,0.0124,0.0037,1,0,0,0,0.064103,0.015625,63,0.7562,0.3278,0.25,0.003
10,5000,3084,0,0,1,1.9771,2,16.5,0,3071,4.5,0.963,3202.4,13,1.0,168,5,18,1538,0.001341,0.0186,25.4403,9,8.4,0.0143,0.0035,0,0,0,0,0.044693,0.015625,62,0.6504,0.3725,0.2531,0.003
