window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini,lw_n_oasis,lw_n_penalty,lw_n_neutral,lw_edge_oo,lw_edge_op,lw_edge_pp,thaw_mean_jaccard,thaw_mean_pressure,thaw_mean_add,thaw_mean_drop,thaw_mean_range,fb_died_share,fb_ema,fb_ratio,fb_multiplier,fb_warmup
1,5000,6146,20,5,0,1.9986,0,18.4,0,0,6.73,1.0,6146.0,629,1.0,378,587,209,2102,0.000947,0.0067,420.1737,0,0.0,0.0064,0.0011,2,0,0,0,0.030412,0.015625,64,0.4862,0.0304,0.2531,111,186,81,2143,1409,1468,1.0,0.0,0,0,0,0.0,0,0.0,1.0,1
2,5000,4090,7,5,0,1.9987,0,17.3,496,3568,5.5,0.8577,4784.0,522,1.0,360,20,38,2216,0.001049,0.0102,406.2257,1,1.0,0.008,0.0013,3,0,0,0,0.03717,0.015625,64,0.5796,0.0676,0.2491,115,165,80,1338,1285,743,1.0,0.0,0,0,0,0.01199,0.007994,1.5,1.0,1
3,5000,3569,2,5,0,1.9988,0,16.9,316,3261,5.09,0.8591,4193.0,308,1.0,304,5,61,2124,0.001067,0.0102,275.2458,2,1.9,0.0066,0.0015,1,0,0,0,0.040058,0.015625,63,0.6099,0.1055,0.2485,109,124,71,1027,1310,635,1.0,0.0,0,0,0,0.023307,0.01565,1.4892,1.0,1
4,5000,3401,2,5,0,1.9988,0,17.0,130,3298,4.91,0.8836,3891.0,103,1.0,232,9,81,1989,0.001191,0.0139,118.6636,3,2.8,0.0086,0.0022,1,0,0,0,0.047525,0.015625,63,0.6712,0.152,0.2556,100,72,60,917,1292,529,1.0,0.0,0,0,0,0.048515,0.028796,1.6848,1.0,1
5,5000,3274,1,4,0,1.9988,0,16.8,17,3259,4.66,0.8888,3686.0,15,1.0,210,4,26,1712,0.001392,0.0184,24.4698,4,3.8,0.0118,0.0031,0,0,0,0,0.045942,0.015625,62,0.6599,0.1887,0.2672,87,68,55,826,1305,535,1.0,0.0,0,0,0,0.003063,0.020218,0.1515,1.0,1
6,5000,3245,1,4,0,1.9989,2,17.4,3,3242,4.62,0.9115,3560.0,3,1.0,194,1,17,1642,0.001418,0.0162,5.102,5,4.8,0.0118,0.0031,0,0,0,0,0.056726,0.015625,61,0.7246,0.2455,0.277,83,59,52,809,1305,526,1.0,0.0,0,0,0,0.003241,0.015368,0.2109,1.0,1
7,5000,3167,2,3,0,1.9956,2,20.3,3,3161,4.56,0.9149,3461.8,6,1.0,178,3,19,1550,0.001396,0.0207,11.811,6,5.7,0.0121,0.0034,0,0,0,0,0.060264,0.015625,58,0.7407,0.2888,0.2869,78,52,48,797,1310,487,1.0,0.0,0,0,0,0.0,0.011526,0.0,1.0,1
8,5000,3157,3,5,0,1.9962,2,16.5,7,3147,4.63,0.9304,3394.2,10,1.0,167,3,14,1540,0.001458,0.0195,18.3486,7,6.6,0.0111,0.0036,1,0,0,0,0.062167,0.015625,56,0.7487,0.3509,0.2987,75,46,46,839,1262,525,1.0,0.0,0,0,0,0.001776,0.009359,0.1898,1.0,1
9,5000,3185,0,0,3,1.9912,2,16.5,4,3181,4.55,0.9501,3352.4,4,1.0,152,0,15,1430,0.00151,0.019,8.0,8,7.6,0.0129,0.0038,0,0,0,0,0.066667,0.015625,55,0.7656,0.4005,0.308,72,39,41,788,1258,542,1.0,0.0,0,0,0,0.00381,0.008249,0.4618,1.0,1
10,5000,3247,2,3,0,1.9905,1,16.6,7,3235,4.66,0.9741,3333.2,12,1.0,141,6,17,1364,0.001545,0.0257,25.0522,9,8.3,0.0153,0.0044,0,0,0,0,0.073123,0.015625,56,0.7863,0.4736,0.3194,68,31,42,839,1283,551,1.0,0.0,0,0,0,0.003953,0.007468,0.5293,1.0,1
11,5000,3045,1,5,1,1.9885,1,19.5,4,3032,4.42,0.9269,3285.2,13,1.0,131,1,11,1301,0.001615,0.024,32.6633,10,9.4,0.0147,0.0046,1,0,0,0,0.055288,0.015625,54,0.7174,0.5121,0.3265,64,27,40,788,1208,494,1.0,0.0,0,0,0,0.002404,0.006624,0.3629,1.0,1
12,5000,3211,0,0,0,1.9967,2,16.9,0,3199,4.55,0.9808,3273.8,12,1.0,129,7,9,1283,0.001479,0.0266,25.5814,11,9.9,0.0145,0.0048,0,0,0,0,0.062084,0.015625,56,0.7483,0.5741,0.3313,63,27,39,786,1264,510,1.0,0.0,0,0,0,0.002217,0.005946,0.3729,1.0,1
13,5000,3154,1,5,3,1.9907,1,16.6,0,3145,4.49,0.9685,3256.7,9,1.0,119,1,11,1226,0.001625,0.031,22.3881,12,11.0,0.0188,0.0057,1,0,0,0,0.066667,0.015625,53,0.7656,0.6408,0.339,58,24,37,740,1294,536,1.0,0.0,0,0,0,0.002381,0.005437,0.4379,1.0,1
14,5000,3221,1,5,1,1.9386,1,17.0,0,3216,4.59,0.9905,3251.9,5,1.0,112,1,8,1178,0.001644,0.0237,13.5501,13,12.1,0.0182,0.0055,1,0,0,0,0.071053,0.015625,52,0.7801,0.6961,0.3457,54,22,36,779,1294,552,1.0,0.0,0,0,0,0.0,0.004712,0.0,1.0,1
15,5000,3157,1,5,1,1.9531,2,17.0,0,3152,4.53,0.9744,3240.1,5,1.0,108,1,5,1162,0.001663,0.0362,13.2275,14,12.9,0.0189,0.0058,1,0,0,0,0.059432,0.015625,51,0.7371,0.7555,0.353,50,21,37,780,1260,536,1.0,0.0,0,0,0,0.0,0.004123,0.0,1.0,1
16,5000,3180,1,4,0,1.9819,2,23.3,6,3174,4.54,0.9836,3233.0,6,1.0,101,3,10,1136,0.001721,0.0314,14.7929,15,13.7,0.0176,0.0065,0,0,0,0,0.057143,0.015625,51,0.7266,0.7984,0.3577,52,16,33,821,1246,529,1.0,0.0,0,0,0,0.005714,0.00431,1.3258,1.0,1
17,5000,3225,3,5,0,1.9919,2,19.5,3,3212,4.58,0.9978,3232.1,13,1.0,98,5,8,1116,0.001692,0.0307,38.3481,16,14.0,0.0185,0.0059,1,0,0,0,0.058659,0.015625,51,0.7336,0.8431,0.3609,48,16,34,824,1260,542,1.0,0.0,0,0,0,0.002793,0.004142,0.6745,1.0,1
18,5000,3166,2,3,3,1.9819,2,20.4,3,3150,4.57,0.9817,3225.1,16,1.0,94,3,7,1101,0.001753,0.0298,42.8571,17,14.8,0.0202,0.0064,0,0,0,0,0.054201,0.015625,49,0.7117,0.8783,0.3642,46,14,34,810,1287,487,1.0,0.0,0,0,0,0.00542,0.004276,1.2675,1.0,1
19,5000,3180,2,3,1,1.982,2,16.8,3,3168,4.55,0.9874,3220.6,12,1.0,94,2,2,1102,0.001798,0.0305,31.4961,18,15.6,0.0187,0.0066,0,0,0,0,0.058376,0.015625,49,0.7323,0.9189,0.3666,44,14,36,803,1277,533,1.0,0.0,0,0,0,0.0,0.003849,0.0,1.0,1
20,5000,3145,2,5,1,1.9781,2,16.7,8,3131,4.64,0.9787,3213.4,14,1.0,91,6,9,1103,0.001655,0.0256,41.2979,19,15.9,0.0151,0.0062,1,0,0,0,0.059829,0.015625,48,0.7388,0.9474,0.37,43,13,35,844,1190,522,1.0,0.0,0,0,0,0.008547,0.004296,1.9895,1.099,0
21,5000,3251,1,5,3,1.988,2,19.1,3259,0,4.64,1.0167,3219.1,14,1.0,88,2,5,1080,0.001991,0.0327,43.4783,20,16.5,0.0169,0.0063,1,0,0,0,0.059524,0.015625,45,0.7375,1.0069,0.3764,42,13,33,872,1255,529,1.0,0.0,0,0,0,0.0,0.003887,0.0,0.9,0
22,5000,3197,3,5,3,1.987,2,16.7,18,3175,4.66,0.9938,3217.0,22,1.0,89,8,7,1120,0.001798,0.0345,57.1429,21,16.4,0.0201,0.0069,2,0,0,0,0.05665,0.015625,44,0.7242,1.0291,0.3794,43,10,36,823,1244,513,1.0,0.0,0,0,0,0.002463,0.003751,0.6566,0.9657,0
