window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini,lw_n_oasis,lw_n_penalty,lw_n_neutral,lw_edge_oo,lw_edge_op,lw_edge_pp,thaw_mean_jaccard,thaw_mean_pressure,thaw_mean_add,thaw_mean_drop,thaw_mean_range,fb_died_share,fb_ema,fb_ratio,fb_multiplier,fb_warmup
1,5000,5973,15,4,0,1.9987,0,18.6,0,0,6.58,1.0,5973.0,582,1.0,358,551,193,1942,0.001015,0.0065,407.8486,0,0.0,0.0,0.0012,0,0,0,0,0.025543,0.015625,64,0.3883,0.0255,0.2075,108,167,83,2018,1383,1448,1.0,0.0,0,0,0,0.001087,0.001087,1.0,1.0,1
2,5000,3982,3,4,0,1.9986,0,17.7,434,3555,5.37,0.8599,4665.7,427,1.0,337,6,27,1950,0.00114,0.008,374.8903,1,1.0,0.0,0.0012,0,0,0,0,0.028782,0.015625,64,0.4571,0.0524,0.1899,107,151,79,1246,1273,752,1.0,0.0,0,0,0,0.008032,0.005717,1.4049,1.0,1
3,5000,3514,1,3,0,1.9986,0,18.5,267,3282,5.14,0.8641,4107.3,232,1.0,271,8,74,1888,0.001169,0.0119,246.5462,2,1.9,0.0,0.0017,0,0,0,0,0.036658,0.015625,64,0.5738,0.0855,0.1987,97,107,67,948,1340,553,1.0,0.0,0,0,0,0.031543,0.01863,1.6931,1.0,1
4,5000,3252,1,5,0,1.9986,0,16.8,96,3179,4.73,0.8686,3776.4,73,1.0,235,3,39,1629,0.001395,0.0173,115.7556,3,2.9,0.0115,0.0027,1,0,0,0,0.036023,0.015625,64,0.5663,0.1187,0.2031,91,82,62,926,1232,517,1.0,0.0,0,0,0,0.001441,0.011754,0.1226,1.0,1
5,5000,3287,1,3,0,1.9986,0,16.7,15,3273,4.63,0.9105,3614.6,14,1.0,211,2,26,1536,0.001415,0.0163,22.4138,4,3.9,0.0131,0.003,0,0,0,0,0.034314,0.015625,64,0.5446,0.1428,0.193,81,77,53,846,1273,558,1.0,0.0,0,0,0,0.003268,0.008926,0.3661,1.0,1
6,5000,3224,1,4,0,1.999,2,16.6,7,3217,4.59,0.9204,3503.0,7,1.0,195,5,21,1458,0.001433,0.0155,12.1457,5,4.8,0.0097,0.0029,0,0,0,0,0.036893,0.015625,64,0.5765,0.1739,0.1955,79,68,48,848,1269,527,1.0,0.0,0,0,0,0.001942,0.00693,0.2802,1.0,1
7,5000,3164,1,5,0,1.9992,2,16.6,11,3153,4.59,0.9256,3418.2,11,1.0,175,2,22,1394,0.001501,0.0196,22.2222,6,5.7,0.0137,0.0034,1,0,0,0,0.041096,0.015625,64,0.6198,0.2006,0.1992,75,60,40,780,1263,529,1.0,0.0,0,0,0,0.0,0.005198,0.0,1.0,1
8,5000,3208,1,5,0,1.9966,2,23.2,7,3196,4.61,0.9515,3371.5,12,1.0,163,3,15,1354,0.001526,0.0188,26.087,7,6.6,0.0167,0.0038,1,0,0,0,0.041754,0.015625,63,0.6258,0.234,0.2032,65,58,40,822,1277,534,1.0,0.0,0,0,0,0.002088,0.004507,0.4633,1.0,1
9,5000,3205,0,0,3,1.9966,2,16.6,0,3205,4.56,0.9601,3338.2,0,1.0,154,0,9,1291,0.001606,0.0288,0.0,8,7.6,0.017,0.0043,0,0,0,0,0.039911,0.015625,62,0.6085,0.2606,0.2059,63,54,37,874,1204,533,1.0,0.0,0,0,0,0.0,0.003605,0.0,1.0,1
10,5000,3288,1,4,0,1.9996,1,16.6,0,3284,4.61,0.9877,3329.1,4,1.0,143,2,13,1234,0.001488,0.019,9.8039,9,8.5,0.0111,0.004,0,0,0,0,0.042654,0.015625,61,0.6337,0.2903,0.2075,59,49,35,842,1288,543,1.0,0.0,0,0,0,0.0,0.00295,0.0,1.0,1
