window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini,lw_n_oasis,lw_n_penalty,lw_n_neutral,lw_edge_oo,lw_edge_op,lw_edge_pp,thaw_mean_jaccard,thaw_mean_pressure,thaw_mean_add,thaw_mean_drop,thaw_mean_range,fb_died_share,fb_ema,fb_ratio,fb_multiplier,fb_warmup
1,5000,5879,12,3,0,1.9996,0,18.3,0,0,6.48,1.0,5879.0,526,1.0,329,509,180,1879,0.001075,0.0077,401.2204,0,0.0,0.0,0.0012,0,0,0,0,0.040708,0.015625,63,0.6162,0.0407,0.2898,101,167,61,2037,1367,1434,1.0,0.0,0,0,0,0.0,0,0.0,1.0,1
2,5000,4025,4,6,0,1.9996,0,17.3,415,3606,5.45,0.8691,4659.0,419,1.0,316,21,34,1943,0.001185,0.0083,381.6029,1,0.9,0.0,0.0013,0,0,0,0,0.038221,0.015625,63,0.5912,0.0761,0.2824,104,147,65,1303,1288,729,1.0,0.0,0,0,0,0.010424,0.006949,1.5,1.0,1
3,5000,3476,1,4,0,1.9996,0,17.0,259,3240,4.96,0.8588,4082.5,236,1.0,259,3,60,1847,0.001271,0.0138,269.4064,2,1.9,0.0,0.0019,0,0,0,0,0.041322,0.015625,63,0.6219,0.1031,0.2978,97,109,53,905,1342,617,1.0,0.0,0,0,0,0.02663,0.01679,1.5861,1.0,1
4,5000,3284,0,0,1,1.9996,0,16.9,73,3217,4.82,0.8744,3767.1,67,1.0,172,3,90,1631,0.00146,0.0184,113.7521,3,2.9,0.0,0.0029,0,0,0,0,0.045198,0.015625,62,0.6543,0.1483,0.3011,75,58,39,858,1286,479,1.0,0.0,0,0,0,0.077684,0.041147,1.8879,1.0,1
5,5000,3228,0,0,0,1.9996,0,16.9,16,3215,4.72,0.9004,3588.4,13,1.0,122,2,52,1317,0.001841,0.0264,27.907,4,3.8,0.0,0.0039,0,0,0,0,0.068966,0.015625,60,0.7734,0.1955,0.307,53,37,32,852,1283,487,1.0,0.0,0,0,0,0.081136,0.054477,1.4894,1.0,1
6,5000,3163,1,5,0,1.9993,1,16.9,5,3153,4.57,0.9124,3466.9,10,1.0,116,3,9,1041,0.002199,0.025,28.6533,5,4.8,0.025,0.0045,1,0,0,0,0.055556,0.015625,56,0.7188,0.2511,0.3072,50,33,33,821,1240,494,1.0,0.0,0,0,0,0.002778,0.039706,0.07,1.0,1
7,5000,3228,1,4,0,1.9961,1,18.3,7,3221,4.62,0.9474,3407.1,7,1.0,111,5,10,1028,0.002342,0.0307,14.4928,6,5.6,0.0279,0.0057,0,0,0,0,0.069832,0.015625,55,0.7762,0.3209,0.3147,49,31,31,811,1295,517,1.0,0.0,0,0,0,0.005587,0.031176,0.1792,1.0,1
8,5000,3254,2,4,0,1.9996,2,16.5,6,3248,4.69,0.9647,3373.1,6,1.0,105,2,8,990,0.002306,0.0324,19.6721,7,6.5,0.0324,0.0057,0,0,0,0,0.048544,0.015625,55,0.6781,0.35,0.3233,46,28,31,842,1291,540,1.0,0.0,0,0,0,0.003236,0.024967,0.1296,1.0,1
9,5000,3257,0,0,1,1.9903,2,16.3,4,3253,4.68,0.9723,3349.9,4,1.0,97,0,8,936,0.002312,0.0294,13.2013,8,7.5,0.0294,0.0057,0,0,0,0,0.058824,0.015625,52,0.7344,0.4088,0.3323,44,25,28,871,1219,506,1.0,0.0,0,0,0,0.003268,0.020627,0.1584,1.0,1
10,5000,3258,0,0,3,1.9959,1,16.8,10,3248,4.68,0.9774,3333.2,10,1.0,92,6,11,906,0.002269,0.0278,32.0513,9,8.1,0.0185,0.0057,0,0,0,0,0.052469,0.015625,50,0.7022,0.4521,0.3447,39,24,29,849,1283,539,1.0,0.0,0,0,0,0.003086,0.017438,0.177,1.0,1
11,5000,3207,0,0,3,1.9866,1,16.6,4,3203,4.62,0.9683,3312.2,4,1.0,82,0,10,841,0.002383,0.0334,13.7931,10,9.1,0.0234,0.0074,0,0,0,0,0.06689,0.015625,45,0.7664,0.5022,0.3576,34,23,25,864,1248,493,1.0,0.0,0,0,0,0.003344,0.015089,0.2216,1.0,1
12,5000,3153,5,5,1,1.9839,1,21.1,12,3136,4.63,0.959,3287.7,17,1.0,78,5,9,848,0.002805,0.044,54.6624,11,9.5,0.0283,0.0091,1,0,0,0,0.078616,0.015625,45,0.8013,0.5525,0.3657,30,21,27,773,1303,484,1.0,0.0,0,0,0,0.006289,0.013735,0.4579,1.0,1
13,5000,3160,3,5,3,1.9888,1,17.4,7,3143,4.58,0.9665,3269.4,17,1.0,75,5,8,855,0.00306,0.055,56.5371,12,9.9,0.0447,0.0097,2,0,0,0,0.079038,0.015625,42,0.8023,0.5835,0.3744,28,17,30,808,1296,494,1.0,0.0,0,0,0,0.003436,0.012264,0.2802,1.0,1
14,5000,3308,1,5,3,1.9876,2,16.4,3328,0,4.7,1.0189,3279.0,13,1.0,72,4,7,841,0.002791,0.0352,46.7626,13,10.4,0.0296,0.008,1,0,0,0,0.066901,0.015625,41,0.7664,0.6046,0.385,25,18,29,840,1318,544,1.0,0.0,0,0,0,0.003521,0.011098,0.3173,1.0,1
15,5000,3208,0,0,3,1.9659,2,16.6,3,3205,4.52,0.981,3270.1,3,1.0,68,0,4,803,0.002814,0.0389,12.1457,14,11.5,0.028,0.0091,0,0,0,0,0.058366,0.015625,39,0.7323,0.6474,0.3938,25,17,26,815,1241,558,1.0,0.0,0,0,0,0.003891,0.010197,0.3816,1.0,1
16,5000,3172,1,5,1,1.9964,1,16.7,3,3164,4.64,0.9734,3258.6,8,1.0,63,1,6,784,0.002993,0.0444,33.195,15,12.4,0.0343,0.0099,1,0,0,0,0.056452,0.015625,39,0.7232,0.6797,0.3995,24,16,23,842,1249,492,1.0,0.0,0,0,0,0.008065,0.009946,0.8108,1.0,1
17,5000,3162,1,3,3,1.9932,1,16.7,0,3153,4.52,0.9736,3247.8,9,1.0,65,8,6,761,0.002843,0.0644,41.2844,16,11.7,0.0322,0.0105,0,0,0,0,0.077253,0.015625,42,0.7977,0.7269,0.3997,26,16,23,820,1205,557,1.0,0.0,0,0,0,0.0,0.008841,0.0,1.0,1
18,5000,3139,0,0,3,1.9764,2,16.7,2,3127,4.54,0.9699,3236.4,12,1.0,63,7,9,748,0.002825,0.0348,51.1628,17,11.5,0.0261,0.0089,0,0,0,0,0.069565,0.015625,42,0.7754,0.7596,0.4007,24,15,24,783,1300,485,1.0,0.0,0,0,0,0.004348,0.008368,0.5196,1.0,1
19,5000,3215,1,5,3,1.9665,1,16.6,0,3205,4.61,0.9941,3234.2,10,1.0,55,1,9,705,0.003012,0.0485,46.9484,18,12.9,0.0301,0.01,1,1,0,0,0.0837,0.015625,41,0.8133,0.8345,0.4045,23,11,21,835,1277,523,1.0,0.0,0,0,0,0.013216,0.008853,1.4928,1.0,1
