window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini,lw_n_oasis,lw_n_penalty,lw_n_neutral,lw_edge_oo,lw_edge_op,lw_edge_pp,thaw_mean_jaccard,thaw_mean_pressure,thaw_mean_add,thaw_mean_drop,thaw_mean_range,fb_died_share,fb_ema,fb_ratio,fb_multiplier,fb_warmup
1,5000,5993,12,4,0,1.9983,0,18.6,0,0,6.62,1.0,5993.0,649,1.0,401,630,229,2140,0.000888,0.0064,416.8272,0,0.0,0.0,0.001,0,0,0,0,0.034432,0.015625,64,0.5462,0.0344,0.2326,117,205,79,2101,1347,1474,1.0,0.0,0,0,0,0.001476,0.001476,1.0,1.0,1
2,5000,4022,7,5,0,1.9982,0,17.2,490,3504,5.45,0.861,4689.0,518,1.0,393,23,31,2239,0.000993,0.0086,384.6726,1,1.0,0.0086,0.0011,1,0,0,0,0.038813,0.015625,64,0.5974,0.0732,0.2313,122,187,84,1303,1275,769,1.0,0.0,0,0,0,0.008562,0.0062,1.381,1.0,1
3,5000,3626,1,3,0,1.9982,0,16.8,327,3311,5.11,0.8751,4168.5,315,1.0,324,7,76,2184,0.00099,0.0074,298.2955,2,1.9,0.006,0.0013,0,0,0,0,0.042411,0.015625,64,0.6316,0.1127,0.2422,120,136,68,1009,1287,700,1.0,0.0,0,0,0,0.035714,0.020957,1.7042,1.0,1
4,5000,3391,1,5,0,1.9982,0,16.8,127,3282,4.92,0.8838,3868.7,109,1.0,225,1,100,1906,0.001171,0.0147,136.0799,3,2.9,0.01,0.0022,1,0,0,0,0.04717,0.015625,64,0.6687,0.1546,0.257,89,81,55,897,1331,509,1.0,0.0,0,0,0,0.063941,0.038151,1.676,1.0,1
5,5000,3310,1,3,0,1.9982,0,16.7,12,3293,4.7,0.8998,3684.1,17,1.0,200,4,29,1551,0.001528,0.0238,30.5206,4,3.8,0.0179,0.0031,0,0,0,0,0.047619,0.015625,62,0.6719,0.1937,0.2663,80,73,47,821,1298,550,1.0,0.0,0,0,0,0.001701,0.026001,0.0654,1.0,1
6,5000,3194,0,0,1,1.9986,2,16.6,6,3174,4.54,0.9014,3544.4,20,1.0,180,7,27,1461,0.001567,0.0179,37.3832,5,4.7,0.0125,0.0032,0,0,0,0,0.051878,0.015625,60,0.6988,0.2303,0.2815,71,66,43,859,1261,519,1.0,0.0,0,0,0,0.001789,0.019083,0.0937,1.0,1
7,5000,3194,2,4,0,1.9965,1,16.5,0,3181,4.61,0.924,3456.8,13,1.0,167,5,18,1412,0.001524,0.0206,23.9521,6,5.6,0.0178,0.0035,0,0,0,0,0.056285,0.015625,59,0.7224,0.2865,0.2947,65,60,42,831,1228,565,1.0,0.0,0,0,0,0.003752,0.01525,0.246,1.0,1
8,5000,3242,2,4,0,1.9983,1,16.4,6,3221,4.55,0.951,3409.1,21,1.0,156,6,17,1361,0.001564,0.0207,50.7246,7,6.4,0.0126,0.0038,0,0,0,0,0.05977,0.015625,57,0.7386,0.3463,0.3073,63,57,36,813,1280,579,1.0,0.0,0,0,0,0.0,0.011861,0.0,1.0,1
9,5000,3225,0,0,1,1.9993,2,16.4,1,3219,4.66,0.9563,3372.2,6,1.0,141,1,16,1282,0.001648,0.0195,13.2159,8,7.4,0.0108,0.0039,0,0,0,0,0.065076,0.015625,57,0.7599,0.4114,0.318,59,49,33,840,1237,530,1.0,0.0,0,0,0,0.002169,0.009923,0.2186,1.0,1
10,5000,3216,2,5,1,1.9984,1,16.4,9,3204,4.54,0.9618,3343.8,12,1.0,136,2,7,1268,0.001648,0.0225,27.5229,9,8.3,0.0172,0.0044,1,0,0,0,0.060674,0.015625,57,0.7425,0.4721,0.3225,57,46,33,815,1247,543,1.0,0.0,0,0,0,0.0,0.008119,0.0,1.0,1
