window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini,lw_n_oasis,lw_n_penalty,lw_n_neutral,lw_edge_oo,lw_edge_op,lw_edge_pp,thaw_mean_jaccard,thaw_mean_pressure,thaw_mean_add,thaw_mean_drop,thaw_mean_range,fb_died_share,fb_ema,fb_ratio,fb_multiplier,fb_warmup
1,5000,6041,10,3,0,1.9972,0,18.5,0,0,6.6,1.0,6041.0,567,1.0,362,548,186,1933,0.00098,0.0062,417.8335,0,0.0,0.0,0.0011,0,0,0,0,0.043919,0.015625,63,0.6442,0.0439,0.2765,101,181,80,2055,1424,1405,1.0,0.0,0,0,0,0.001126,0.001126,1.0,1.0,1
2,5000,4050,5,5,0,1.9972,0,17.4,426,3597,5.47,0.8607,4725.0,453,1.0,346,19,35,2035,0.001121,0.0069,369.4943,1,1.0,0.0069,0.0012,2,0,0,0,0.029523,0.015625,63,0.4707,0.0734,0.2576,100,163,83,1269,1307,802,1.0,0.0,0,0,0,0.00691,0.004982,1.387,1.0,1
3,5000,3577,3,5,0,1.9973,0,17.2,265,3333,5.11,0.8653,4164.0,244,1.0,273,9,82,1982,0.001159,0.0126,251.0373,2,1.9,0.0086,0.0018,2,0,0,0,0.039363,0.015625,63,0.6031,0.1044,0.262,96,105,72,952,1326,623,1.0,0.0,0,0,0,0.038526,0.021754,1.771,1.0,1
4,5000,3350,1,3,0,1.9973,0,16.9,72,3291,4.8,0.8755,3844.8,59,1.0,193,5,85,1712,0.001353,0.0134,89.6445,3,2.8,0.011,0.0024,0,0,0,0,0.042838,0.015625,62,0.6353,0.1473,0.2681,79,61,53,880,1337,531,1.0,0.0,0,0,0,0.060241,0.037149,1.6216,1.0,1
5,5000,3174,0,0,1,1.9973,0,16.7,13,3164,4.64,0.8771,3622.2,10,1.0,172,0,21,1384,0.001729,0.0179,21.1416,4,3.8,0.0154,0.0034,0,0,0,0,0.043825,0.015625,61,0.6435,0.1752,0.2754,72,54,46,870,1236,466,1.0,0.0,0,0,0,0.0,0.024766,0.0,1.0,1
6,5000,3206,1,3,0,1.9981,0,16.7,4,3199,4.66,0.9151,3503.3,7,1.0,152,2,22,1307,0.001779,0.0296,14.3541,5,4.8,0.0171,0.0041,0,0,0,0,0.061503,0.015625,59,0.7459,0.2137,0.2852,64,48,40,852,1232,501,1.0,0.0,0,0,0,0.004556,0.018992,0.2399,1.0,1
7,5000,3127,2,5,1,1.9975,1,16.6,11,3107,4.57,0.9174,3409.5,20,1.0,138,10,24,1240,0.001844,0.0234,49.7512,6,5.5,0.015,0.0046,1,0,0,0,0.044496,0.015625,59,0.6488,0.2511,0.2946,62,40,36,834,1187,522,1.0,0.0,0,0,0,0.009368,0.016586,0.5648,1.0,1
8,5000,3220,3,5,0,1.9946,2,16.8,5,3205,4.64,0.9562,3367.4,15,1.0,129,3,12,1181,0.002005,0.0332,36.1446,7,6.3,0.0194,0.0054,2,1,0,0,0.042654,0.015625,56,0.6337,0.2843,0.2971,58,34,37,834,1292,545,1.0,0.0,0,0,0,0.0,0.0129,0.0,1.0,1
9,5000,3277,3,5,0,1.9832,2,16.9,0,3260,4.63,0.9784,3349.3,17,1.0,124,7,12,1185,0.00205,0.0327,45.0928,8,6.9,0.0208,0.0055,1,0,0,0,0.042714,0.015625,54,0.6342,0.322,0.2914,54,33,37,805,1326,529,1.0,0.0,0,0,0,0.0,0.01032,0.0,1.0,1
10,5000,3110,1,4,0,1.9934,2,17.6,1,3104,4.49,0.9408,3305.8,6,1.0,117,2,9,1163,0.002053,0.0272,14.1643,9,7.9,0.0206,0.0057,0,0,0,0,0.059946,0.015625,54,0.7393,0.3656,0.2978,50,31,36,778,1215,517,1.0,0.0,0,0,0,0.00545,0.009434,0.5776,1.0,1
