cid,window,prev_social,prev_stability,prev_spread,prev_familiarity,current_social,current_stability,current_spread,current_familiarity,delta_social,delta_stability,delta_spread,delta_familiarity,tags,n_tags,state
12,21,0.1333,0.6305,0.8444,21.3824,0.3,0.6316,0.8372,11.3592,0.1667,0.0011,-0.0072,-10.0232,gain_social|loss_familiarity,2,hosted
19,21,0.0,0.6435,0.7988,0.0,0.1,0.7082,0.7993,25.4232,0.1,0.0648,0.0006,25.4232,gain_familiarity,1,hosted
21,21,0.8,0.6634,0.8641,23.4391,0.8,0.6077,0.866,20.4702,0.0,-0.0557,0.0019,-2.9689,loss_familiarity,1,hosted
32,21,0.4667,0.6905,0.8646,18.9395,0.75,0.6471,0.8342,14.791,0.2833,-0.0434,-0.0303,-4.1485,gain_social|loss_familiarity,2,hosted
41,21,0.0,0.6746,0.8588,0.0,0.05,0.6396,0.7923,19.4553,0.05,-0.035,-0.0664,19.4553,gain_familiarity,1,hosted
42,21,0.5333,0.6588,0.8557,15.9094,0.6,0.7249,0.8555,12.1234,0.0667,0.0661,-0.0001,-3.7861,loss_familiarity,1,hosted
46,21,0.6667,0.6635,0.8939,24.1168,0.8,0.7114,0.8529,18.742,0.1333,0.048,-0.0409,-5.3747,gain_social|loss_familiarity,2,hosted
53,21,0.0,0.6835,0.8251,0.0,0.1,0.6639,0.7599,10.0622,0.1,-0.0196,-0.0653,10.0622,gain_familiarity,1,hosted
60,21,0.7333,0.583,0.8777,9.0876,0.8,0.6807,0.8371,7.8004,0.0667,0.0977,-0.0407,-1.2872,,0,hosted
66,21,0.0667,0.6842,0.8468,10.9567,0.1,0.6211,0.7753,20.0883,0.0333,-0.0632,-0.0715,9.1316,gain_familiarity,1,hosted
67,21,0.0667,0.7022,0.833,1.2408,0.1,0.6994,0.7849,1.5912,0.0333,-0.0028,-0.0481,0.3504,,0,hosted
70,21,0.0667,0.6131,0.8697,0.6099,0.1,0.6935,0.7641,21.1499,0.0333,0.0804,-0.1056,20.54,loss_spread|gain_familiarity,2,hosted
78,21,0.2667,0.6788,0.8247,13.6071,0.35,0.679,0.8047,8.9441,0.0833,0.0001,-0.02,-4.663,loss_familiarity,1,hosted
79,21,1.0,0.6649,0.8968,17.3751,1.0,0.7052,0.8477,16.5244,0.0,0.0403,-0.049,-0.8506,,0,hosted
80,21,0.4667,0.6874,0.8677,112.8729,0.5,0.6778,0.8138,68.9934,0.0333,-0.0096,-0.054,-43.8795,loss_familiarity,1,hosted
82,21,0.2,0.6928,0.7986,14.7827,0.2,0.6929,0.7874,13.8035,0.0,0.0001,-0.0112,-0.9792,,0,hosted
83,21,0.0,0.7253,0.8623,0.0,0.0,0.5864,0.7714,0.0,0.0,-0.1389,-0.0909,0.0,loss_stability,1,hosted
84,21,0.2667,0.6603,0.8537,114.5545,0.25,0.6635,0.8078,42.9425,-0.0167,0.0033,-0.0458,-71.612,loss_familiarity,1,hosted
12,22,0.3,0.6316,0.8372,11.3592,0.3333,0.6511,0.802,8.3326,0.0333,0.0195,-0.0352,-3.0265,loss_familiarity,1,hosted
19,22,0.1,0.7082,0.7993,25.4232,0.0952,0.5818,0.6528,9.3433,-0.0048,-0.1265,-0.1465,-16.0799,loss_stability|loss_spread|loss_familiarity,3,hosted
21,22,0.8,0.6077,0.866,20.4702,0.7619,0.6731,0.8518,14.1017,-0.0381,0.0654,-0.0142,-6.3686,loss_familiarity,1,hosted
32,22,0.75,0.6471,0.8342,14.791,0.7143,0.7136,0.8486,8.1616,-0.0357,0.0665,0.0144,-6.6294,loss_familiarity,1,hosted
42,22,0.6,0.7249,0.8555,12.1234,0.6667,0.6846,0.8042,7.3527,0.0667,-0.0403,-0.0513,-4.7706,loss_familiarity,1,hosted
46,22,0.8,0.7114,0.8529,18.742,0.8095,0.7026,0.859,15.7031,0.0095,-0.0088,0.0061,-3.039,loss_familiarity,1,hosted
60,22,0.8,0.6807,0.8371,7.8004,0.7619,0.6785,0.8596,6.5655,-0.0381,-0.0022,0.0226,-1.2349,,0,hosted
66,22,0.1,0.6211,0.7753,20.0883,0.2381,0.6997,0.7578,18.0666,0.1381,0.0787,-0.0175,-2.0217,gain_social|loss_familiarity,2,hosted
78,22,0.35,0.679,0.8047,8.9441,0.381,0.6172,0.817,5.4119,0.031,-0.0617,0.0123,-3.5322,loss_familiarity,1,hosted
79,22,1.0,0.7052,0.8477,16.5244,1.0,0.6157,0.8617,9.8647,0.0,-0.0895,0.0139,-6.6598,loss_familiarity,1,hosted
80,22,0.5,0.6778,0.8138,68.9934,0.5714,0.6982,0.826,50.4426,0.0714,0.0204,0.0122,-18.5509,loss_familiarity,1,hosted
82,22,0.2,0.6929,0.7874,13.8035,0.2381,0.6813,0.8074,9.5301,0.0381,-0.0115,0.02,-4.2734,loss_familiarity,1,hosted
83,22,0.0,0.5864,0.7714,0.0,0.0,0.6441,0.7605,0.0,0.0,0.0577,-0.0109,0.0,,0,hosted
84,22,0.25,0.6635,0.8078,42.9425,0.2857,0.677,0.6978,16.3189,0.0357,0.0134,-0.11,-26.6235,loss_spread|loss_familiarity,2,hosted
12,23,0.3333,0.6511,0.802,8.3326,0.4091,0.6755,0.82,6.2428,0.0758,0.0245,0.018,-2.0898,loss_familiarity,1,hosted
19,23,0.0952,0.5818,0.6528,9.3433,0.1364,0.6689,0.7629,11.1771,0.0411,0.0871,0.1101,1.8338,gain_spread,1,hosted
21,23,0.7619,0.6731,0.8518,14.1017,0.8182,0.657,0.8614,10.3838,0.0563,-0.0161,0.0096,-3.7179,loss_familiarity,1,hosted
32,23,0.7143,0.7136,0.8486,8.1616,0.7727,0.606,0.8214,7.3417,0.0584,-0.1076,-0.0273,-0.8199,loss_stability,1,hosted
42,23,0.6667,0.6846,0.8042,7.3527,0.6818,0.6938,0.8366,3.316,0.0152,0.0092,0.0324,-4.0367,loss_familiarity,1,hosted
46,23,0.8095,0.7026,0.859,15.7031,0.8182,0.6342,0.8405,13.6641,0.0087,-0.0685,-0.0185,-2.039,loss_familiarity,1,hosted
60,23,0.7619,0.6785,0.8596,6.5655,0.8182,0.6863,0.8398,4.5161,0.0563,0.0078,-0.0198,-2.0494,loss_familiarity,1,hosted
66,23,0.2381,0.6997,0.7578,18.0666,0.2273,0.5543,0.6952,6.6397,-0.0108,-0.1455,-0.0626,-11.4269,loss_stability|loss_familiarity,2,hosted
78,23,0.381,0.6172,0.817,5.4119,0.3636,0.7094,0.7575,1.9889,-0.0173,0.0922,-0.0595,-3.423,loss_familiarity,1,hosted
79,23,1.0,0.6157,0.8617,9.8647,1.0,0.7147,0.8572,9.2222,0.0,0.099,-0.0045,-0.6424,,0,hosted
80,23,0.5714,0.6982,0.826,50.4426,0.5455,0.6125,0.826,50.9139,-0.026,-0.0857,-0.0,0.4714,,0,hosted
82,23,0.2381,0.6813,0.8074,9.5301,0.2727,0.662,0.7972,3.2134,0.0346,-0.0193,-0.0102,-6.3167,loss_familiarity,1,hosted
83,23,0.0,0.6441,0.7605,0.0,0.0455,0.6629,0.7861,4.538,0.0455,0.0188,0.0256,4.538,gain_familiarity,1,hosted
84,23,0.2857,0.677,0.6978,16.3189,0.2727,0.6813,0.8294,5.9974,-0.013,0.0043,0.1316,-10.3215,gain_spread|loss_familiarity,2,hosted
12,24,0.4091,0.6755,0.82,6.2428,0.4091,0.6687,0.8202,4.8369,0.0,-0.0068,0.0002,-1.406,,0,hosted
19,24,0.1364,0.6689,0.7629,11.1771,0.1364,0.7151,0.7767,4.1077,0.0,0.0462,0.0138,-7.0694,loss_familiarity,1,hosted
21,24,0.8182,0.657,0.8614,10.3838,0.8636,0.6894,0.8631,14.6527,0.0455,0.0324,0.0017,4.2689,gain_familiarity,1,hosted
32,24,0.7727,0.606,0.8214,7.3417,0.8182,0.6757,0.8395,4.3455,0.0455,0.0697,0.0181,-2.9962,loss_familiarity,1,hosted
42,24,0.6818,0.6938,0.8366,3.316,0.7273,0.5908,0.8469,4.2205,0.0455,-0.103,0.0103,0.9046,loss_stability,1,hosted
46,24,0.8182,0.6342,0.8405,13.6641,0.8182,0.6451,0.8496,10.3435,0.0,0.0109,0.0091,-3.3205,loss_familiarity,1,hosted
60,24,0.8182,0.6863,0.8398,4.5161,0.9091,0.6881,0.836,7.1318,0.0909,0.0018,-0.0039,2.6157,gain_familiarity,1,hosted
66,24,0.2273,0.5543,0.6952,6.6397,0.2727,0.6745,0.7956,9.1883,0.0455,0.1202,0.1004,2.5486,gain_stability|gain_spread|gain_familiarity,3,hosted
78,24,0.3636,0.7094,0.7575,1.9889,0.4545,0.6396,0.763,2.9255,0.0909,-0.0698,0.0055,0.9365,,0,hosted
79,24,1.0,0.7147,0.8572,9.2222,1.0,0.6262,0.8543,10.4887,0.0,-0.0885,-0.0029,1.2665,,0,hosted
80,24,0.5455,0.6125,0.826,50.9139,0.6364,0.6402,0.7702,21.1058,0.0909,0.0278,-0.0557,-29.8081,loss_familiarity,1,hosted
82,24,0.2727,0.662,0.7972,3.2134,0.3182,0.7049,0.7598,3.6102,0.0455,0.0429,-0.0375,0.3968,,0,hosted
