window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed
1,5000,6037,8,5,0,1.9993,0,33.8,0,0,6.53,1.0,6037.0,625,1.0,381,610,229,2091,0.000936,0.006,404.9479,0,0.0,0.0055,0.001,1,0,0,0
2,5000,3713,4,5,0,1.9993,0,37.1,477,3227,5.23,0.83,4505.0,486,1.0,321,26,86,2167,0.001161,0.0078,385.0438,1,0.9,0.006,0.0011,3,0,0,0
3,5000,3458,3,5,0,1.9992,0,43.9,252,3213,4.94,0.8722,3994.5,245,1.0,278,7,50,2003,0.001384,0.0119,250.5112,2,1.9,0.01,0.0017,1,0,0,0
4,5000,3136,1,5,0,1.9993,0,50.1,41,3112,4.58,0.8636,3661.5,24,1.0,189,1,90,1786,0.001744,0.0182,38.2166,3,2.9,0.0109,0.0024,1,0,0,0
5,5000,3080,1,5,0,1.9993,0,79.7,5,3075,4.49,0.8882,3467.7,5,1.0,138,1,52,1454,0.002294,0.0173,10.8696,4,3.8,0.0127,0.003,1,0,0,0
6,5000,3127,1,5,0,1.9993,0,99.5,0,3123,4.44,0.9278,3370.3,4,1.0,99,1,40,1174,0.003059,0.0354,11.396,5,4.8,0.0168,0.0048,1,0,0,0
7,5000,3049,1,3,0,1.9965,2,106.2,6,3043,4.46,0.9267,3290.0,6,1.0,73,4,30,978,0.003956,0.0385,19.7628,6,5.5,0.0236,0.0066,0,0,0,0
8,5000,2992,1,5,0,1.9977,2,120.5,3,2984,4.41,0.9281,3223.8,8,1.0,52,1,22,737,0.005383,0.0469,40.8163,7,6.1,0.0256,0.0099,1,0,0,0
9,5000,3026,0,0,1,1.9993,2,122.0,3,3023,4.45,0.9503,3184.2,3,1.0,43,0,9,589,0.007182,0.0582,16.7598,8,7.0,0.037,0.0136,0,0,0,0
10,5000,3060,2,5,0,1.9927,1,127.7,11,3049,4.47,0.9679,3161.6,11,1.0,33,3,13,534,0.007828,0.0741,72.3684,9,7.0,0.0401,0.0144,1,0,0,0
11,5000,3038,0,0,1,1.9924,1,132.3,8,3030,4.39,0.9672,3141.0,8,1.0,25,0,8,429,0.010908,0.0957,73.3945,10,8.0,0.0504,0.0194,0,0,0,0
12,5000,3082,0,0,3,1.9865,1,147.2,8,3074,4.5,0.9841,3131.9,8,1.0,22,3,6,418,0.011125,0.1273,68.6275,11,8.1,0.0564,0.0256,0,0,0,0
13,5000,3087,0,0,0,1.9748,1,155.7,7,3080,4.46,0.9877,3125.5,7,1.0,18,2,6,375,0.012815,0.1273,49.0196,12,8.5,0.0573,0.0248,0,0,0,0
14,5000,3027,0,0,3,1.9339,1,160.5,0,3027,4.43,0.9726,3112.4,0,1.0,16,0,2,317,0.015279,0.1011,0.0,13,9.8,0.0697,0.0205,0,0,0,0
15,5000,3111,3,5,1,1.9463,1,169.2,10,3096,4.45,0.9996,3112.2,15,1.0,16,5,5,369,0.013064,0.1101,140.0,14,8.1,0.0615,0.0205,1,1,0,0
16,5000,3133,1,5,3,1.9229,1,169.8,3120,0,4.52,1.0059,3114.7,13,1.0,13,1,4,324,0.013906,0.1905,138.2979,15,8.4,0.0635,0.0402,1,2,0,0
17,5000,3036,0,0,3,1.9621,2,177.6,10,3026,4.46,0.9775,3105.9,10,1.0,11,2,4,282,0.018465,0.1348,105.8824,16,7.0,0.0871,0.03,0,1,0,0
18,5000,3128,2,5,3,1.9671,1,176.5,3114,0,4.51,1.0064,3108.2,14,1.0,11,2,2,282,0.017357,0.1327,148.9362,17,6.9,0.088,0.0244,2,2,0,0
19,5000,3033,3,5,3,1.9461,1,182.8,9,3006,4.43,0.9782,3100.7,27,1.0,16,8,3,322,0.014027,0.1062,245.283,18,4.9,0.0747,0.0216,2,1,0,0
