cid,window,prev_social,prev_stability,prev_spread,prev_familiarity,current_social,current_stability,current_spread,current_familiarity,delta_social,delta_stability,delta_spread,delta_familiarity,tags,n_tags,state
1,21,1.0,0.6548,0.8933,30.0146,0.875,0.6188,0.8569,34.7305,-0.125,-0.036,-0.0364,4.7159,loss_social|gain_familiarity,2,hosted
6,21,0.6,0.6685,0.8685,11.5288,0.625,0.65,0.8414,8.1836,0.025,-0.0185,-0.0271,-3.3452,loss_familiarity,1,hosted
7,21,0.35,0.6313,0.8839,20.8698,0.75,0.6874,0.8614,14.8432,0.4,0.0561,-0.0225,-6.0266,gain_social|loss_familiarity,2,hosted
8,21,0.95,0.6748,0.8687,14.2607,0.9167,0.6392,0.8492,16.5122,-0.0333,-0.0356,-0.0196,2.2515,gain_familiarity,1,hosted
30,21,0.75,0.666,0.8855,18.8784,0.875,0.6317,0.8409,10.3527,0.125,-0.0343,-0.0446,-8.5257,gain_social|loss_familiarity,2,hosted
42,21,0.75,0.6562,0.8775,20.8773,0.8333,0.626,0.8459,19.3609,0.0833,-0.0302,-0.0317,-1.5164,,0,hosted
43,21,0.7,0.6617,0.8842,19.6836,0.9167,0.6923,0.8861,17.5072,0.2167,0.0306,0.002,-2.1764,gain_social|loss_familiarity,2,hosted
46,21,0.65,0.6672,0.8712,14.9367,0.7917,0.6012,0.8369,11.0578,0.1417,-0.066,-0.0343,-3.8789,gain_social|loss_familiarity,2,hosted
47,21,1.0,0.6673,0.8823,12.687,1.0,0.6404,0.8597,13.1738,0.0,-0.0269,-0.0226,0.4868,,0,hosted
50,21,0.8,0.6443,0.9076,20.6768,0.875,0.6797,0.859,15.1082,0.075,0.0354,-0.0485,-5.5686,loss_familiarity,1,hosted
52,21,0.9,0.6988,0.8744,15.6692,0.9583,0.6675,0.8683,16.7188,0.0583,-0.0313,-0.0062,1.0495,,0,hosted
57,21,0.7,0.6949,0.8624,16.0408,0.9167,0.6521,0.8535,12.8518,0.2167,-0.0429,-0.0089,-3.1891,gain_social|loss_familiarity,2,hosted
62,21,0.05,0.7065,0.8121,18.6543,0.0833,0.6976,0.8123,22.1529,0.0333,-0.009,0.0003,3.4986,gain_familiarity,1,hosted
63,21,0.9,0.6405,0.8551,17.9738,0.875,0.654,0.877,22.2062,-0.025,0.0135,0.0219,4.2324,gain_familiarity,1,hosted
64,21,0.1,0.723,0.8436,18.4299,0.0833,0.6487,0.7732,8.8022,-0.0167,-0.0743,-0.0705,-9.6277,loss_familiarity,1,hosted
66,21,0.55,0.6333,0.8726,18.702,0.6667,0.7041,0.844,18.271,0.1167,0.0707,-0.0286,-0.431,gain_social,1,hosted
67,21,0.25,0.6806,0.8703,4.077,0.4583,0.6192,0.809,13.8118,0.2083,-0.0614,-0.0613,9.7348,gain_social|gain_familiarity,2,hosted
72,21,0.65,0.6231,0.8926,13.772,0.75,0.6734,0.8266,15.1039,0.1,0.0503,-0.0659,1.3318,,0,hosted
73,21,0.2,0.6543,0.8423,29.9092,0.2083,0.696,0.7861,15.441,0.0083,0.0418,-0.0562,-14.4683,loss_familiarity,1,hosted
74,21,0.15,0.6352,0.824,115.5476,0.125,0.7185,0.7685,44.3324,-0.025,0.0833,-0.0555,-71.2153,loss_familiarity,1,hosted
1,22,0.875,0.6188,0.8569,34.7305,0.9167,0.6758,0.8644,35.3912,0.0417,0.0569,0.0075,0.6607,,0,hosted
6,22,0.625,0.65,0.8414,8.1836,0.7083,0.6181,0.8415,7.7931,0.0833,-0.0318,0.0001,-0.3904,,0,hosted
7,22,0.75,0.6874,0.8614,14.8432,0.8333,0.6643,0.82,15.575,0.0833,-0.023,-0.0414,0.7318,,0,hosted
8,22,0.9167,0.6392,0.8492,16.5122,0.9583,0.5871,0.8378,15.8346,0.0417,-0.0522,-0.0114,-0.6777,,0,hosted
30,22,0.875,0.6317,0.8409,10.3527,0.875,0.6167,0.88,19.0607,0.0,-0.015,0.0391,8.708,gain_familiarity,1,hosted
