cid,window,prev_social,prev_stability,prev_spread,prev_familiarity,current_social,current_stability,current_spread,current_familiarity,delta_social,delta_stability,delta_spread,delta_familiarity,tags,n_tags,state
0,21,0.625,0.7149,0.8838,16.1737,0.8182,0.6493,0.8393,16.3755,0.1932,-0.0656,-0.0445,0.2018,gain_social,1,hosted
6,21,1.0,0.6736,0.8838,9.6666,0.8636,0.6363,0.8447,12.5302,-0.1364,-0.0373,-0.0391,2.8636,loss_social|gain_familiarity,2,hosted
22,21,0.0,0.6906,0.8433,0.0,0.1364,0.7274,0.7925,16.5821,0.1364,0.0367,-0.0507,16.5821,gain_social|gain_familiarity,2,hosted
32,21,0.6875,0.6798,0.8593,8.3378,0.9091,0.6862,0.8559,18.9261,0.2216,0.0064,-0.0034,10.5884,gain_social|gain_familiarity,2,hosted
34,21,0.0625,0.6622,0.815,38.0678,0.0909,0.6907,0.7464,21.8448,0.0284,0.0285,-0.0686,-16.223,loss_familiarity,1,hosted
50,21,1.0,0.621,0.8588,8.8608,0.9091,0.6529,0.8661,11.3569,-0.0909,0.0319,0.0073,2.4961,gain_familiarity,1,hosted
58,21,0.0625,0.7353,0.8309,26.0753,0.0455,0.664,0.7008,9.583,-0.017,-0.0713,-0.1301,-16.4923,loss_spread|loss_familiarity,2,hosted
59,21,0.3125,0.6571,0.859,13.5775,0.4091,0.6744,0.7959,14.5814,0.0966,0.0174,-0.063,1.0039,,0,hosted
61,21,0.125,0.6758,0.8502,18.9345,0.1818,0.7027,0.7953,9.4267,0.0568,0.027,-0.0549,-9.5078,loss_familiarity,1,hosted
63,21,0.625,0.6936,0.883,17.118,0.5455,0.6818,0.8153,13.7191,-0.0795,-0.0118,-0.0677,-3.3989,loss_familiarity,1,hosted
66,21,0.375,0.6597,0.8736,15.7738,0.5455,0.6406,0.8095,8.7888,0.1705,-0.019,-0.0641,-6.985,gain_social|loss_familiarity,2,hosted
68,21,1.0,0.6505,0.8934,11.378,1.0,0.6995,0.8585,11.6059,0.0,0.049,-0.0349,0.2279,,0,hosted
