cid,window,prev_social,prev_stability,prev_spread,prev_familiarity,current_social,current_stability,current_spread,current_familiarity,delta_social,delta_stability,delta_spread,delta_familiarity,tags,n_tags,state
0,21,0.6957,0.6873,0.8814,14.1994,0.68,0.7042,0.8532,14.9163,-0.0157,0.0169,-0.0282,0.7169,,0,hosted
1,21,0.9565,0.639,0.8995,15.5895,0.96,0.6643,0.8595,13.5841,0.0035,0.0253,-0.04,-2.0054,loss_familiarity,1,hosted
2,21,0.7391,0.6702,0.8741,13.5257,0.8,0.6135,0.8299,14.0205,0.0609,-0.0568,-0.0442,0.4949,,0,hosted
11,21,0.8261,0.6434,0.8734,12.9928,0.84,0.6866,0.8575,16.0566,0.0139,0.0432,-0.0159,3.0639,gain_familiarity,1,hosted
27,21,0.6957,0.6443,0.884,15.4165,0.84,0.6742,0.8693,18.0138,0.1443,0.0299,-0.0147,2.5973,gain_social|gain_familiarity,2,hosted
36,21,0.6957,0.6484,0.8906,12.3492,0.68,0.6516,0.8393,10.948,-0.0157,0.0032,-0.0513,-1.4012,,0,hosted
37,21,0.2174,0.6223,0.8647,8.1756,0.32,0.6896,0.8057,7.2908,0.1026,0.0672,-0.059,-0.8848,gain_social,1,hosted
42,21,0.6957,0.6621,0.8888,16.3033,0.76,0.6729,0.8705,20.3662,0.0643,0.0108,-0.0183,4.0628,gain_familiarity,1,hosted
53,21,0.087,0.7157,0.8557,18.1864,0.16,0.7113,0.8136,10.5482,0.073,-0.0045,-0.0421,-7.6382,loss_familiarity,1,hosted
57,21,1.0,0.6499,0.8674,11.3005,1.0,0.6677,0.8465,13.8835,0.0,0.0178,-0.021,2.583,gain_familiarity,1,hosted
62,21,0.7826,0.6756,0.8811,10.8682,0.84,0.6947,0.8748,13.0671,0.0574,0.0191,-0.0063,2.1988,gain_familiarity,1,hosted
64,21,0.7391,0.6446,0.8777,32.5971,0.76,0.6446,0.8699,38.5858,0.0209,-0.0,-0.0078,5.9887,gain_familiarity,1,hosted
65,21,0.7826,0.6033,0.9101,17.1854,0.88,0.6762,0.8564,15.0048,0.0974,0.0729,-0.0537,-2.1805,loss_familiarity,1,hosted
67,21,0.2609,0.6691,0.8239,12.347,0.4,0.6333,0.8618,13.6744,0.1391,-0.0358,0.0379,1.3274,gain_social,1,hosted
68,21,0.2174,0.6468,0.8432,17.0863,0.4,0.7025,0.8187,16.8623,0.1826,0.0557,-0.0245,-0.224,gain_social,1,hosted
76,21,0.0,0.613,0.8128,0.0,0.04,0.6415,0.7778,35.9205,0.04,0.0285,-0.035,35.9205,gain_familiarity,1,hosted
77,21,0.0435,0.6868,0.8289,316.2444,0.08,0.6796,0.7218,61.2079,0.0365,-0.0071,-0.1072,-255.0364,loss_spread|loss_familiarity,2,hosted
82,21,0.3043,0.6489,0.877,15.6794,0.48,0.6606,0.8521,13.3243,0.1757,0.0117,-0.0249,-2.3551,gain_social|loss_familiarity,2,hosted
0,22,0.68,0.7042,0.8532,14.9163,0.7037,0.6501,0.8379,11.8798,0.0237,-0.0542,-0.0153,-3.0364,loss_familiarity,1,hosted
1,22,0.96,0.6643,0.8595,13.5841,0.963,0.6927,0.8511,15.2013,0.003,0.0285,-0.0084,1.6172,,0,hosted
2,22,0.8,0.6135,0.8299,14.0205,0.8148,0.6318,0.827,11.3562,0.0148,0.0184,-0.0029,-2.6643,loss_familiarity,1,hosted
11,22,0.84,0.6866,0.8575,16.0566,0.9259,0.6656,0.8351,10.594,0.0859,-0.0209,-0.0224,-5.4626,loss_familiarity,1,hosted
27,22,0.84,0.6742,0.8693,18.0138,0.8889,0.6858,0.8639,15.0744,0.0489,0.0116,-0.0054,-2.9395,loss_familiarity,1,hosted
36,22,0.68,0.6516,0.8393,10.948,0.6667,0.6221,0.8178,8.5338,-0.0133,-0.0296,-0.0215,-2.4142,loss_familiarity,1,hosted
